IPN,Value,Description,Symbol,Footprint,MPN,Manufacturer
109001,MMBT3904,TRANS NPN 40V 0.2A TO-236AB,Device:Q_NPN_BEC,Package_TO_SOT_SMD:SOT-23,MMBT3904VL,Nexperia USA Inc.
109002,MMBT3906,TRANS PNP 40V 0.2A SOT23-3,Device:Q_PNP_BEC,Package_TO_SOT_SMD:SOT-23,MMBT3906LT1G,onsemi
109003,MMBT3904T,TRANS NPN 40V 0.2A SOT-523,Device:Q_NPN_BEC,Package_TO_SOT_SMD:SOT-523,MMBT3904T-7-F,Diodes Incorporated
109004,MMBT3906T,TRANS PNP 40V 0.2A SOT-523,Device:Q_PNP_BEC,Package_TO_SOT_SMD:SOT-523,MMBT3906T-7-F,Diodes Incorporated
109005,DMMT3904W,TRANS 2NPN 40V 200MA SOT-363,db-bjt:Q_Dual_NPN_NPN_B2B1C1E1E2C2,Package_TO_SOT_SMD:SOT-363_SC-70-6_Handsoldering,DMMT3904W-7-F,Diodes Incorporated
109006,DMMT3906W,TRANS 2PNP 40V 200MA SOT-363,db-bjt:Q_Dual_NPN_NPN_B2B1C1E1E2C2,Package_TO_SOT_SMD:SOT-363_SC-70-6_Handsoldering,DMMT3906W-7-F,Diodes Incorporated
